species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
polynucleobacter bastaniensis,2081039,Polynucleobacter bastaniensis,0,1,pcuac_only,NA,WP_216170417.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14613.02,9.301,0.1087,0.03623,0.1087,0.0,0.00725,0.07246,0.02899,0.0942,0.02899,0.02899,0.07971,0.07246,0.07246,0.05072,0.05072,0.03623,0.02174,0.05797,0.04348,0.13768,0.0,0.00725
polynucleobacter alcilacus,1819739,Polynucleobacter alcilacus,0,1,pcuac_only,NA,WP_216175466.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,14461.15,9.223,0.186,0.02941,0.11029,0.0,0.02941,0.05882,0.02206,0.08824,0.02206,0.04412,0.09559,0.08088,0.09559,0.02941,0.05882,0.03676,0.01471,0.05147,0.03676,0.11765,0.0,0.00735
polynucleobacter parvulilacunae,1855631,Polynucleobacter parvulilacunae,0,1,pcuac_only,NA,WP_216189681.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,137,14401.83,8.927,0.138,0.0365,0.15328,0.0,0.0292,0.05839,0.0219,0.08759,0.0219,0.0438,0.08759,0.06569,0.08029,0.0438,0.05109,0.0365,0.0146,0.0438,0.0365,0.10949,0.0073,0.0073
falsiroseomonas oleicola,2801474;3317349;3385906,Falsiroseomonas oleicola;Roseomonas sp. CGMCC 1.13459;Roseomonadaceae,0,1,pcuac_only,NA,WP_216874092.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14041.07,6.976,0.1729,0.02256,0.15789,0.0,0.03759,0.06015,0.01504,0.09774,0.03759,0.06015,0.01504,0.11278,0.03008,0.01504,0.04511,0.04511,0.08271,0.03759,0.05263,0.09023,0.00752,0.0
reyranella humidisoli,2849149,Reyranella humidisoli,0,1,pcuac_only,NA,WP_216964617.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15145.53,9.098,0.0475,0.04255,0.12057,0.0,0.04255,0.04965,0.02837,0.07092,0.02128,0.04255,0.05674,0.0922,0.07092,0.02128,0.04965,0.02837,0.04965,0.06383,0.09929,0.07801,0.00709,0.00709
solemya elarraichensis,1918949,Solemya elarraichensis gill symbiont,0,1,pcuac_only,NA,WP_217349016.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,14961.1,7.278,-0.1529,0.04412,0.07353,0.0,0.05882,0.04412,0.02206,0.04412,0.05882,0.04412,0.07353,0.08824,0.05147,0.02206,0.05147,0.02941,0.02941,0.08824,0.09559,0.10294,0.00735,0.01471
arsukibacterium indicum,2848612,Arsukibacterium indicum,0,1,pcuac_only,NA,WP_217671039.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,129,13915.84,5.557,0.2093,0.05426,0.08527,0.0,0.02326,0.06202,0.04651,0.07752,0.04651,0.06202,0.00775,0.10853,0.04651,0.05426,0.06202,0.04651,0.03876,0.07752,0.05426,0.09302,0.0,0.00775
falsochrobactrum tianjinense,2706015,Falsochrobactrum tianjinense,0,1,pcuac_only,NA,WP_217676246.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15223.29,5.32,-0.1234,0.04965,0.10638,0.00709,0.04965,0.0922,0.02837,0.08511,0.03546,0.04965,0.06383,0.07801,0.04965,0.02837,0.04965,0.02128,0.03546,0.05674,0.04965,0.0922,0.0,0.02128
geopseudomonas aromaticivorans,2849492,Geopseudomonas aromaticivorans,0,1,pcuac_only,NA,WP_217683518.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15180.15,6.461,-0.161,0.05674,0.12057,0.0,0.03546,0.05674,0.04255,0.08511,0.05674,0.02837,0.04965,0.12057,0.02837,0.02837,0.06383,0.07092,0.02837,0.05674,0.04965,0.06383,0.00709,0.00709
thalassococcus arenae,2851652,Thalassococcus arenae,0,1,pcuac_only,NA,WP_217776359.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14500.36,4.861,0.1703,0.05072,0.13768,0.0,0.05797,0.05797,0.04348,0.1087,0.03623,0.05072,0.01449,0.07246,0.05072,0.01449,0.04348,0.05797,0.04348,0.04348,0.05797,0.10145,0.0,0.00725
pseudomonas fakonensis,2842355,Pseudomonas fakonensis,0,1,pcuac_only,NA,WP_217839028.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14049.19,7.208,-0.0458,0.0229,0.10687,0.0,0.03053,0.06107,0.00763,0.07634,0.0458,0.0229,0.06107,0.07634,0.0687,0.0229,0.05344,0.06107,0.03053,0.05344,0.0687,0.1374,0.00763,0.00763
pseudomonas muyukensis,2842357,Pseudomonas muyukensis,0,1,pcuac_only,NA,WP_217847415.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,13820.94,9.108,0.0695,0.0229,0.12977,0.0,0.03053,0.0458,0.00763,0.08397,0.03817,0.01527,0.06107,0.09924,0.05344,0.01527,0.0458,0.0687,0.03053,0.0458,0.08397,0.12977,0.00763,0.00763
pseudomonas triticicola,2842345,Pseudomonas triticicola,0,1,pcuac_only,NA,WP_217864474.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14487.69,6.424,0.1149,0.05224,0.14179,0.0,0.03731,0.05224,0.02985,0.04478,0.0597,0.04478,0.05224,0.10448,0.04478,0.02239,0.08209,0.05224,0.02239,0.06716,0.02239,0.09701,0.00746,0.01493
pseudomonas maumuensis,2842354,Pseudomonas maumuensis,0,1,pcuac_only,NA,WP_217866089.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,13938.11,9.164,0.0908,0.0229,0.12977,0.0,0.03053,0.0458,0.01527,0.06107,0.03817,0.01527,0.06107,0.09924,0.06107,0.03053,0.0458,0.06107,0.03053,0.06107,0.07634,0.12977,0.00763,0.0
pseudomonas khavaziana,2842351,Pseudomonas khavaziana,0,1,pcuac_only,NA,WP_217882812.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,13785.85,9.058,0.082,0.02256,0.12782,0.0,0.06767,0.02256,0.00752,0.09774,0.03008,0.01504,0.06767,0.09774,0.05263,0.00752,0.05263,0.03759,0.03759,0.07519,0.06015,0.12782,0.00752,0.00752
pseudomonas xanthosomatis,2842356,Pseudomonas xanthosomatis,0,1,pcuac_only,NA,WP_217884720.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14012.13,8.286,-0.0168,0.0229,0.10687,0.0,0.03053,0.05344,0.00763,0.07634,0.0458,0.0229,0.06107,0.0916,0.05344,0.0229,0.05344,0.0687,0.03053,0.05344,0.0687,0.1374,0.00763,0.00763
candidimonas humi,683355,Candidimonas humi,0,1,pcuac_only,NA,WP_217962889.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,13845.92,9.365,-0.0331,0.05263,0.12782,0.0,0.06015,0.02256,0.02256,0.1203,0.03008,0.03759,0.09774,0.09023,0.04511,0.02256,0.05263,0.03008,0.01504,0.05263,0.06015,0.08271,0.00752,0.02256
blastococcus aggregatus,38502,Blastococcus aggregatus,0,1,pcuac_only,NA,WP_217991499.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,128,12901.61,4.374,0.393,0.03125,0.14062,0.00781,0.0625,0.0625,0.01562,0.14844,0.01562,0.03125,0.01562,0.07812,0.05469,0.01562,0.03125,0.00781,0.03906,0.02344,0.10156,0.13281,0.00781,0.00781
alteromonas antoniana,2803813,Alteromonas antoniana,0,1,pcuac_only,NA,WP_218311766.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14144.05,4.449,0.1765,0.05303,0.10606,0.0,0.05303,0.06061,0.02273,0.08333,0.0303,0.06061,0.01515,0.08333,0.08333,0.02273,0.0303,0.04545,0.02273,0.06061,0.11364,0.07576,0.0,0.0303
unclassified photobacterium,2628852;2790953;2790954;2628852;2827237;2913413;2913414,unclassified Photobacterium;Photobacterium sp. Ph5;Photobacterium sp. Ph6,0,1,pcuac_only,NA,WP_238029204.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,148,16347.48,6.281,-0.1493,0.05405,0.08108,0.0,0.03378,0.06081,0.0473,0.03378,0.06081,0.07432,0.06081,0.08108,0.0473,0.06757,0.04054,0.0473,0.01351,0.10811,0.06757,0.06757,0.00676,0.0
mameliella sediminis,2836866,Mameliella sediminis,0,1,pcuac_only,NA,WP_218448523.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,135,14332.47,5.674,0.1407,0.05185,0.13333,0.00741,0.05926,0.06667,0.04444,0.1037,0.03704,0.04444,0.05185,0.05185,0.07407,0.01481,0.03704,0.01481,0.04444,0.03704,0.05926,0.11111,0.0,0.00741
candidatus rickettsia,1436799;1967503;780;3115352,Candidatus Rickettsia kedanie,0,1,pcuac_only,NA,WP_218460071.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14528.47,9.069,-0.0908,0.09924,0.0687,0.00763,0.06107,0.01527,0.0687,0.0458,0.01527,0.08397,0.08397,0.03817,0.03817,0.1145,0.03053,0.03053,0.01527,0.07634,0.07634,0.09924,0.00763,0.0229
nocardia iowensis,204891,Nocardia iowensis,0,1,pcuac_only,NA,WP_218469095.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,13633.45,7.983,0.0122,0.0458,0.12977,0.00763,0.03817,0.0458,0.03817,0.09924,0.03053,0.0229,0.03817,0.07634,0.0458,0.0229,0.06107,0.0229,0.05344,0.0916,0.07634,0.0916,0.00763,0.0
vineibacter terrae,2586908,Vineibacter terrae,0,1,pcuac_only,NA,WP_218578405.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14268.47,8.218,-0.0917,0.04545,0.14394,0.0,0.06818,0.06061,0.02273,0.06818,0.02273,0.0303,0.07576,0.09848,0.05303,0.00758,0.06061,0.00758,0.06061,0.03788,0.07576,0.08333,0.01515,0.00758
sedimentimonas flavescens,2851012,Sedimentimonas flavescens,0,1,pcuac_only,NA,WP_218628914.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14686.68,5.539,0.1942,0.05797,0.15217,0.0,0.06522,0.05797,0.05072,0.08696,0.05072,0.05072,0.03623,0.06522,0.05797,0.02899,0.02899,0.02174,0.04348,0.05072,0.03623,0.1087,0.0,0.00725
gymnodinialimonas ceratoperidinii,2856823,Gymnodinialimonas ceratoperidinii,0,1,pcuac_only,NA,WP_219004055.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14574.42,5.094,0.0135,0.05263,0.10526,0.0,0.04511,0.09774,0.04511,0.08271,0.06015,0.06015,0.00752,0.09774,0.04511,0.01504,0.03759,0.03008,0.06015,0.03008,0.09774,0.07519,0.0,0.00752
neorhizobium populisoli,2859785,Neorhizobium populisoli,0,1,pcuac_only,NA,WP_219745194.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,14588.05,7.969,0.2121,0.04965,0.14894,0.0,0.04255,0.05674,0.04255,0.12766,0.01418,0.04965,0.08511,0.07801,0.07092,0.01418,0.05674,0.02128,0.02128,0.02128,0.06383,0.07801,0.0,0.00709
sphingomonas citri,2862499,Sphingomonas citri,0,1,pcuac_only,NA,WP_219750681.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,14497.68,10.453,0.1493,0.02857,0.19286,0.0,0.03571,0.03571,0.01429,0.09286,0.04286,0.06429,0.02857,0.1,0.03571,0.00714,0.07143,0.01429,0.07857,0.05714,0.06429,0.05,0.00714,0.00714
paracoccus bogoriensis,242065,Paracoccus bogoriensis,0,1,pcuac_only,NA,WP_483610781.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14410.18,4.982,0.0233,0.04511,0.10526,0.01504,0.06767,0.09774,0.03759,0.10526,0.07519,0.03008,0.01504,0.11278,0.04511,0.01504,0.02256,0.01504,0.05263,0.03008,0.05263,0.09774,0.0,0.00752
shewanella alkalitolerans,2864209,Shewanella alkalitolerans,0,1,pcuac_only,NA,WP_220044151.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14382.65,6.393,0.0565,0.05344,0.08397,0.00763,0.03817,0.0687,0.03817,0.06107,0.05344,0.0,0.0687,0.14504,0.0458,0.03053,0.06107,0.03817,0.0229,0.03817,0.06107,0.12214,0.0,0.01527
shewanella acanthi,2864212,Shewanella acanthi,0,1,pcuac_only,NA,WP_220051302.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14250.4,6.456,0.1356,0.03788,0.09848,0.00758,0.0303,0.05303,0.0303,0.06061,0.06061,0.03788,0.05303,0.13636,0.04545,0.03788,0.04545,0.04545,0.01515,0.05303,0.09848,0.08333,0.0,0.00758
shewanella halotolerans,2864204,Shewanella halotolerans,0,1,pcuac_only,NA,WP_220059821.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14397.62,5.943,0.0618,0.05344,0.08397,0.00763,0.03817,0.07634,0.03817,0.06107,0.05344,0.00763,0.06107,0.14504,0.0458,0.03053,0.06107,0.03817,0.0229,0.03817,0.06107,0.1145,0.0,0.01527
shewanella aegiceratis,2864203,Shewanella aegiceratis,0,1,pcuac_only,NA,WP_220073017.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14363.6,5.939,0.0908,0.0458,0.07634,0.00763,0.0458,0.0687,0.03053,0.06107,0.05344,0.00763,0.06107,0.14504,0.0458,0.03053,0.06107,0.03817,0.0229,0.03817,0.06107,0.12977,0.0,0.01527
shewanella spartinae,2864205,Shewanella spartinae,0,1,pcuac_only,NA,WP_220079817.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14383.59,5.943,0.0595,0.05344,0.08397,0.00763,0.03817,0.07634,0.03817,0.06107,0.05344,0.0,0.06107,0.14504,0.0458,0.03053,0.06107,0.03817,0.0229,0.03817,0.06107,0.12214,0.0,0.01527
shewanella rhizosphaerae,2864207,Shewanella rhizosphaerae,0,1,pcuac_only,NA,WP_220082452.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14369.56,5.943,0.0626,0.05344,0.08397,0.00763,0.03817,0.07634,0.03817,0.06107,0.05344,0.0,0.06107,0.1374,0.0458,0.03053,0.06107,0.03817,0.0229,0.03817,0.06107,0.12977,0.0,0.01527
devosia salina,2860336,Devosia salina,0,1,pcuac_only,NA,WP_220305586.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,137,14178.09,4.518,0.292,0.0438,0.10949,0.0,0.05109,0.05109,0.0365,0.10949,0.0219,0.05839,0.0146,0.10949,0.0438,0.0219,0.06569,0.0292,0.0292,0.05109,0.11679,0.07299,0.0,0.0073
rhizobium mesosinicum,335017,Rhizobium mesosinicum,0,1,pcuac_only,NA,WP_220336154.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,15188.39,9.049,-0.0056,0.04225,0.11268,0.0,0.0493,0.04225,0.02817,0.08451,0.04225,0.07042,0.05634,0.08451,0.04225,0.02113,0.0493,0.03521,0.0493,0.07042,0.07042,0.07746,0.0,0.01408
rhizobium cauense,1166683,Rhizobium cauense,0,1,pcuac_only,NA,WP_220355115.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,139,14688.92,8.963,0.0324,0.05755,0.1295,0.0,0.03597,0.05755,0.04317,0.10072,0.01439,0.05036,0.07194,0.05755,0.06475,0.02878,0.05036,0.02878,0.03597,0.05036,0.07914,0.08633,0.0,0.01439
shewanella hafniensis,22;3063538;3063540;365590;365590,Shewanella hafniensis,0,1,pcuac_only,NA,WP_220592032.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14372.42,5.677,0.0492,0.03788,0.09848,0.00758,0.05303,0.06818,0.0303,0.06061,0.06061,0.04545,0.05303,0.12121,0.03788,0.0303,0.04545,0.04545,0.02273,0.03788,0.07576,0.09848,0.0,0.00758
neotabrizicola shimadae,2807096,Neotabrizicola shimadae,0,1,pcuac_only,NA,WP_220660674.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14088.03,5.518,0.294,0.04478,0.16418,0.0,0.04478,0.07463,0.03731,0.09701,0.0597,0.02239,0.02985,0.10448,0.04478,0.02985,0.02985,0.02239,0.03731,0.02239,0.04478,0.12687,0.0,0.00746
agarivorans litoreus,1510455,Agarivorans litoreus,0,1,pcuac_only,NA,WP_220718983.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14395.39,5.595,-0.022,0.04545,0.09848,0.0,0.0303,0.07576,0.03788,0.05303,0.04545,0.02273,0.03788,0.12879,0.05303,0.03788,0.05303,0.05303,0.0303,0.06818,0.08333,0.08333,0.0,0.00758
jannaschia pagri,188905;2829796;2829797,Jannaschia;Jannaschia sp. AI_61;Jannaschia pagri,0,1,pcuac_only,NA,WP_220747037.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,14554.54,4.241,0.3824,0.03521,0.1338,0.0,0.0493,0.07042,0.02113,0.11972,0.03521,0.02113,0.0,0.10563,0.07042,0.00704,0.06338,0.02113,0.02113,0.02817,0.11268,0.10563,0.00704,0.00704
uncultured shewanella,173975;173975;22;2815912;3050637,uncultured Shewanella sp.,0,1,pcuac_only,NA,WP_220752149.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14234.22,5.322,0.1098,0.03788,0.09091,0.0,0.04545,0.06061,0.0303,0.05303,0.05303,0.03788,0.03788,0.13636,0.05303,0.0303,0.05303,0.03788,0.01515,0.07576,0.10606,0.07576,0.0,0.00758
shewanella sairae,190310,Shewanella sairae,0,1,pcuac_only,NA,WP_220779052.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14230.17,4.616,0.2176,0.0458,0.10687,0.01527,0.06107,0.08397,0.03053,0.06107,0.0458,0.06107,0.03053,0.1145,0.0458,0.03053,0.03053,0.0458,0.0229,0.06107,0.03817,0.09924,0.0,0.01527
pseudomonas paralcaligenes,2772558,Pseudomonas paralcaligenes,0,1,pcuac_only,NA,WP_220815540.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,139,14828.72,5.942,-0.1338,0.05755,0.15108,0.0,0.04317,0.05755,0.03597,0.08633,0.06475,0.01439,0.02158,0.10072,0.04317,0.02158,0.09353,0.04317,0.04317,0.03597,0.05036,0.07194,0.00719,0.01439
quisquiliibacterium transsilvanicum,1549638,Quisquiliibacterium transsilvanicum,0,1,pcuac_only,NA,WP_221302772.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14041.47,9.395,0.178,0.0303,0.13636,0.0,0.04545,0.04545,0.01515,0.07576,0.0303,0.0,0.06818,0.12121,0.06818,0.0,0.06061,0.03788,0.04545,0.04545,0.06061,0.12879,0.00758,0.00758
pseudomonas baetica,286;3364443;674054,Pseudomonas;Pseudomonas baetica;Pseudomonas sp. NPDC087615,0,1,pcuac_only,NA,WP_221733420.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14108.16,7.157,0.0158,0.03759,0.11278,0.0,0.06015,0.03759,0.02256,0.06015,0.03759,0.01504,0.07519,0.09023,0.05263,0.02256,0.06015,0.03008,0.02256,0.09023,0.06767,0.12782,0.00752,0.00752
methyloradius palustris,2778876,Methyloradius palustris,0,1,pcuac_only,NA,WP_221765027.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14419.67,8.894,0.0115,0.06107,0.07634,0.0,0.05344,0.0458,0.03817,0.06107,0.0458,0.07634,0.0916,0.07634,0.05344,0.03817,0.03817,0.0229,0.0229,0.08397,0.05344,0.09924,0.00763,0.01527
alteraquisediminimonas sediminicola,2676787,Alteraquisediminimonas sediminicola,0,1,pcuac_only,NA,WP_221795299.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,129,13567.59,9.299,0.1953,0.05426,0.14729,0.0,0.02326,0.04651,0.03876,0.09302,0.04651,0.03101,0.03876,0.09302,0.04651,0.04651,0.06202,0.00775,0.04651,0.04651,0.06977,0.10078,0.00775,0.00775
maritalea mobilis,483324,Maritalea mobilis,0,1,pcuac_only,NA,WP_222191057.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,14508.53,4.567,0.2118,0.03676,0.15441,0.00735,0.05147,0.10294,0.02941,0.08824,0.03676,0.05882,0.00735,0.07353,0.08088,0.02941,0.03676,0.01471,0.05147,0.02206,0.05882,0.08824,0.0,0.00735
microbulbifer agarilyticus,260552,Microbulbifer agarilyticus,0,1,pcuac_only,NA,WP_222231593.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,125,13236.22,7.25,0.1792,0.048,0.152,0.0,0.008,0.072,0.016,0.104,0.056,0.032,0.024,0.16,0.032,0.008,0.064,0.04,0.056,0.064,0.016,0.064,0.0,0.032
ferrimonas balearica,44012,Ferrimonas balearica,0,1,pcuac_only,NA,WP_222524726.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,129,14012.07,5.445,-0.0279,0.03876,0.10078,0.0155,0.02326,0.08527,0.02326,0.07752,0.03876,0.03101,0.03101,0.13178,0.05426,0.00775,0.06202,0.06977,0.03876,0.03876,0.09302,0.06202,0.0,0.0155
nitratireductor kimnyeongensis,430679,Nitratireductor kimnyeongensis,0,1,pcuac_only,NA,WP_223019857.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,14832.92,4.804,0.0486,0.03571,0.09286,0.0,0.05714,0.07143,0.02857,0.11429,0.03571,0.02857,0.02857,0.1,0.07857,0.02857,0.05714,0.02143,0.03571,0.03571,0.08571,0.09286,0.0,0.00714
nocardioides rotundus,1774216,Nocardioides rotundus,0,1,pcuac_only,NA,WP_223398124.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,14807.78,4.968,-0.2257,0.02143,0.11429,0.0,0.06429,0.09286,0.01429,0.1,0.02143,0.02857,0.07857,0.09286,0.05,0.02857,0.05,0.02143,0.02857,0.02857,0.08571,0.09286,0.00714,0.0
tateyamaria pelophila,328415,Tateyamaria pelophila,0,1,pcuac_only,NA,WP_223424403.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,135,14484.73,6.038,0.1333,0.03704,0.15556,0.0,0.05185,0.06667,0.02222,0.08889,0.04444,0.08148,0.03704,0.06667,0.07407,0.01481,0.04444,0.02222,0.05926,0.02963,0.05185,0.07407,0.00741,0.00741
alcanivorax limicola,2874102,Alcanivorax limicola,0,1,pcuac_only,NA,WP_223424406.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,125,13782.84,4.67,0.216,0.08,0.096,0.016,0.056,0.08,0.056,0.072,0.032,0.016,0.0,0.136,0.056,0.008,0.088,0.016,0.064,0.032,0.064,0.088,0.008,0.016
massilia soli,2792854,Massilia soli,0,1,pcuac_only,NA,WP_223467557.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14069.39,9.99,0.0588,0.03053,0.0916,0.0,0.03817,0.03053,0.01527,0.08397,0.03053,0.06107,0.0687,0.09924,0.05344,0.01527,0.05344,0.06107,0.0458,0.07634,0.06107,0.09924,0.00763,0.00763
oricola indica,2872591,Oricola indica,0,1,pcuac_only,NA,WP_473977079.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,14611.51,4.662,0.0684,0.05882,0.09559,0.01471,0.05147,0.06618,0.03676,0.07353,0.03676,0.05882,0.01471,0.08824,0.04412,0.03676,0.08824,0.03676,0.02941,0.06618,0.05882,0.08088,0.00735,0.01471
stenotrophomonas indicatrix,2045451;2045451;3232730;40323,Stenotrophomonas indicatrix,0,1,pcuac_only,NA,WP_223494510.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,128,13637.74,8.141,0.1219,0.03125,0.14062,0.0,0.03125,0.07031,0.0,0.09375,0.01562,0.03125,0.03125,0.13281,0.03906,0.01562,0.05469,0.03125,0.07812,0.03906,0.0625,0.10156,0.01562,0.01562
phyllobacterium calauticae,1871046;2804618;2804619;2804635;28100;2817027;28100;2817027;3364404;2817027,Phyllobacterium;Phyllobacterium calauticae;Phyllobacterium sp. NPDC097923,0,1,pcuac_only,NA,WP_223612229.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14262.58,6.915,0.0149,0.03731,0.12687,0.0,0.04478,0.08209,0.02985,0.10448,0.02985,0.02985,0.09701,0.1194,0.05224,0.01493,0.04478,0.02239,0.02985,0.02239,0.05224,0.08955,0.0,0.00746
pseudomonas nanhaiensis,2830842,Pseudomonas nanhaiensis,0,1,pcuac_only,NA,WP_223655779.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14767.76,6.112,-0.0677,0.04511,0.08271,0.0,0.03008,0.09023,0.02256,0.06767,0.06767,0.06015,0.01504,0.09774,0.03008,0.02256,0.06015,0.03008,0.07519,0.05263,0.06015,0.11278,0.00752,0.01504
microvirga puerhi,2876078,Microvirga puerhi,0,1,pcuac_only,NA,WP_224311607.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,14971.18,6.91,-0.1007,0.04965,0.08511,0.0,0.05674,0.05674,0.02128,0.12766,0.02837,0.02837,0.07092,0.10638,0.04965,0.01418,0.06383,0.01418,0.04255,0.04965,0.06383,0.0922,0.00709,0.02128
phyllobacterium lublinensis,2875708,Phyllobacterium lublinensis,0,1,pcuac_only,NA,WP_224493076.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14014.21,8.112,0.1112,0.02985,0.13433,0.0,0.03731,0.05224,0.02239,0.1194,0.02985,0.0597,0.05224,0.09701,0.0597,0.02239,0.05224,0.04478,0.04478,0.04478,0.04478,0.07463,0.0,0.00746
celeribacter litoreus,2876714,Celeribacter litoreus,0,1,pcuac_only,NA,WP_224502014.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,14673.84,5.386,0.0846,0.05147,0.10294,0.00735,0.06618,0.05882,0.04412,0.08824,0.04412,0.09559,0.05882,0.06618,0.06618,0.02206,0.03676,0.02206,0.02206,0.02941,0.11029,0.05147,0.0,0.00735
devosia aquimaris,2866214,Devosia aquimaris,0,1,pcuac_only,NA,WP_224705546.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,14252.41,4.788,0.5807,0.05,0.19286,0.0,0.04286,0.05,0.05,0.09286,0.02143,0.04286,0.02143,0.10714,0.05,0.01429,0.06429,0.03571,0.02857,0.05714,0.03571,0.09286,0.0,0.0
xinfangfangia pollutisoli,2865960,Xinfangfangia pollutisoli,0,1,pcuac_only,NA,WP_225028969.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14549.42,6.301,0.1138,0.05797,0.17391,0.0,0.05072,0.05797,0.05072,0.10145,0.06522,0.03623,0.02899,0.10145,0.04348,0.00725,0.02174,0.01449,0.05797,0.05797,0.06522,0.05797,0.0,0.00725
